loc_name,survey_type,day,month,year,hour_start,minute_start,hour_end,minute_end,data_source,temp_start,wind_start,precip_start,cloud_start,temp_end,wind_end,precip_end,cloud_end,noise,comments,record_id,survey_data.survey_id,species_id,observer_num,hour,min,breeding_code,age_code,sex,group,count,direction,distance(m),time_interval,distance_interval,detection_type,latitude,longitude,data_type,route_id,timestamp,survey_header.survey_id,loc_id
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22480,2921,WCSP,1,,,S,A,M,,1,,,1,1,A,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22481,2921,WCSP,1,,,S,A,M,,1,,,1,2,A,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22482,2921,WCSP,1,,,S,A,M,,1,,,1,2,A,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22483,2921,SAVS,1,,,X,A,F,,1,,,3,1,V,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22484,2921,SAVS,1,,,S,A,M,,1,,,4,1,A,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22485,2921,CORA,1,,,X,A,U,,1,,,4,3,V,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22486,2921,CORA,1,,,X,A,U,,1,,,4,3,V,,,pntcnt,22,,2921,9267
MacIn - S3,point count,26,6,2019,8,2,8,12,HE_LB,,1,0,1,,,,,,,22487,2921,CORA,1,,,X,A,U,,1,,,4,3,V,,,pntcnt,22,,2921,9267
Quill - S1,point count,23,6,2019,6,3,6,13,HE_LB,,1,1,3,,,,,,Clouds at 100%,23434,2922,DEJU,1,,,S,A,M,,1,,,1,1,A,,,pntcnt,22,,2922,9189
Quill - S1,point count,23,6,2019,6,3,6,13,HE_LB,,1,1,3,,,,,,Clouds at 100%,23435,2922,GRAJ,1,,,X,A,U,,1,,,1,1,A,,,pntcnt,22,,2922,9189
Quill - S1,point count,23,6,2019,6,3,6,13,HE_LB,,1,1,3,,,,,,Clouds at 100%,23436,2922,YRWA,1,,,S,A,M,,1,,,4,2,A,,,pntcnt,22,,2922,9189
Quill - S1,point count,23,6,2019,6,3,6,13,HE_LB,,1,1,3,,,,,,Clouds at 100%,23437,2922,BOCH,1,,,X,A,U,,1,,,8,1,A,,,pntcnt,22,,2922,9189
Quill - S1,point count,23,6,2019,6,3,6,13,HE_LB,,1,1,3,,,,,,Clouds at 100%,23438,2922,VATH,1,,,S,A,M,,1,,,8,2,A,,,pntcnt,22,,2922,9189
Quill - S1,point count,27,7,2019,5,32,5,42,HE_LB,,1,0,1,,1,0,1,3,"NOISE=CREEK
INCIDENTAL AND POINT COUNT=FAMILY GROUP=YRWA",22536,2923,AMDI,1,,,H,A,U,1,1,,,1,1,V,,,pntcnt,22,,2923,9189
