project,data_set,site,station,recording_date,recording_time,status,latitude,longitude,is_buffered_location,species_code,scientific_name,species_english_name,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,T_Id,transcriber,abundance,confidence,min0_voc,min0_start,min1_voc,min1_start,min2_voc,min2_start,min3_voc,min3_start,min4_voc,min4_start,min5_voc,min5_start,min6_voc,min6_start,min7_voc,min7_start,min8_voc,min8_start,min9_voc,min9_start,comment,species_comment
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,AMRO,Turdus migratorius,American Robin,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,2.3,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,ATSP,Spizelloides arborea,American Tree Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,8.4,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,CHSP,Spizella passerina,Chipping Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,0,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,CHSP,Spizella passerina,Chipping Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,Song,19.8,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,3.7,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,DEJU,Junco hyemalis,Dark-eyed Junco,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,,,,,Song,37.3,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,1,1,jf_jet@hotmail.com,ONE,Confident,Song,21,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,2,1,jf_jet@hotmail.com,ONE,Confident,Song,24.1,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,3,1,jf_jet@hotmail.com,ONE,Confident,Song,24.8,,,,,,,,,,,,,,,,,,,,
Elevation Gradient Project CWS Northern Region 2019,EG,CANOL,A2,6/30/2019,4:00:00,Transcribed,,,t,GCSP,Zonotrichia atricapilla,Golden-crowned Sparrow,3m 1SPR,0,0,0,0,No audio quality issues,4,1,jf_jet@hotmail.com,ONE,Confident,Song,57.3,,,,,,,,,,,,,,,,,,,,
