"","location","site","zone","stat_num","recording_date","R_time","species_code","scientific_name","species_english_name","rain","wind","noise","industry_noise","audio_quality","species_individual_name","abundance","min0_voc","min0_start","min1_voc","min1_start","min2_voc","min2_start","min3_voc","min3_start","comment","species_comment","project","data_set","survey_type","surv_key"
"1","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","AMRO","Turdus_migratorius","American Robin",0,0,0,0,"No audio quality issues",1,"ONE","Song",2.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"2","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","ATSP","Spizelloides_arborea","American Tree Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",8.4,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"3","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","CHSP","Spizella_passerina","Chipping Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",0,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"4","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","CHSP","Spizella_passerina","Chipping Sparrow",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,"Song",19.8,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"5","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",1,"ONE","Song",3.7,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"6","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","DEJU","Junco_hyemalis","Dark-eyed Junco",0,0,0,0,"No audio quality issues",2,"ONE",NA,NA,NA,NA,"Song",37.3,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"7","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",1,"ONE","Song",21,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"8","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",2,"ONE","Song",24.1,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"9","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",3,"ONE","Song",24.8,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
"10","CANOL_A2","CANOL","A","2","6/30/2019","04:00:00","GCSP","Zonotrichia_atricapilla","Golden-crowned Sparrow",0,0,0,0,"No audio quality issues",4,"ONE","Song",57.3,NA,NA,NA,NA,NA,NA,NA,NA,"Elevation Gradient Project CWS Northern Region 2019","EG","ARU","CANOL_A2_6/30/2019_04:00:00_ARU"
