"","location","site","survey_type","zone","stat_num","day","month","year","hour_start","minute_start","hour_end","minute_end","wind_start","precip_start","cloud_start","wind_end","precip_end","cloud_end","noise","comments","record_id","survey_data.survey_id","species_code","observer_num","hour","min","breeding_code","age_code","sex","group","count","time_interval","distance_interval","detection_type","route_id","survey_header.survey_id","loc_id","time_start","recording_date","surv_key"
"1","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22480,2921,"WCSP",1,NA,NA,"S","A","M",NA,1,1,1,"A",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"2","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22481,2921,"WCSP",1,NA,NA,"S","A","M",NA,1,1,2,"A",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"3","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22482,2921,"WCSP",1,NA,NA,"S","A","M",NA,1,1,2,"A",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"4","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22483,2921,"SAVS",1,NA,NA,"X","A","F",NA,1,3,1,"V",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"5","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22484,2921,"SAVS",1,NA,NA,"S","A","M",NA,1,4,1,"A",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"6","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22485,2921,"CORA",1,NA,NA,"X","A","U",NA,1,4,3,"V",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"7","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22486,2921,"CORA",1,NA,NA,"X","A","U",NA,1,4,3,"V",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"8","MACIN_S3","MACIN","HO","S","3",26,6,2019,8,2,8,12,1,0,1,NA,NA,NA,NA,"",22487,2921,"CORA",1,NA,NA,"X","A","U",NA,1,4,3,"V",22,2921,9267,"8:2","2019_6_26","MACIN_S3_2019_6_26_8:2_HO"
"9","QUILL_S1","QUILL","HO","S","1",23,6,2019,6,3,6,13,1,1,3,NA,NA,NA,NA,"Clouds at 100%",23434,2922,"DEJU",1,NA,NA,"S","A","M",NA,1,1,1,"A",22,2922,9189,"6:3","2019_6_23","QUILL_S1_2019_6_23_6:3_HO"
"10","QUILL_S1","QUILL","HO","S","1",23,6,2019,6,3,6,13,1,1,3,NA,NA,NA,NA,"Clouds at 100%",23435,2922,"GRAJ",1,NA,NA,"X","A","U",NA,1,1,1,"A",22,2922,9189,"6:3","2019_6_23","QUILL_S1_2019_6_23_6:3_HO"
"11","QUILL_S1","QUILL","HO","S","1",23,6,2019,6,3,6,13,1,1,3,NA,NA,NA,NA,"Clouds at 100%",23436,2922,"YRWA",1,NA,NA,"S","A","M",NA,1,4,2,"A",22,2922,9189,"6:3","2019_6_23","QUILL_S1_2019_6_23_6:3_HO"
"12","QUILL_S1","QUILL","HO","S","1",23,6,2019,6,3,6,13,1,1,3,NA,NA,NA,NA,"Clouds at 100%",23437,2922,"BOCH",1,NA,NA,"X","A","U",NA,1,8,1,"A",22,2922,9189,"6:3","2019_6_23","QUILL_S1_2019_6_23_6:3_HO"
"13","QUILL_S1","QUILL","HO","S","1",23,6,2019,6,3,6,13,1,1,3,NA,NA,NA,NA,"Clouds at 100%",23438,2922,"VATH",1,NA,NA,"S","A","M",NA,1,8,2,"A",22,2922,9189,"6:3","2019_6_23","QUILL_S1_2019_6_23_6:3_HO"
"14","QUILL_S1","QUILL","HO","S","1",27,7,2019,5,32,5,42,1,0,1,1,0,1,3,"NOISE=CREEK
INCIDENTAL AND POINT COUNT=FAMILY GROUP=YRWA",22536,2923,"AMDI",1,NA,NA,"H","A","U",1,1,1,1,"V",22,2923,9189,"5:32","2019_7_27","QUILL_S1_2019_7_27_5:32_HO"
"15","QUILL_S1","QUILL","HO","S","1",27,7,2019,5,32,5,42,1,0,1,1,0,1,3,"NOISE=CREEK
INCIDENTAL AND POINT COUNT=FAMILY GROUP=YRWA",22537,2923,"AMDI",1,NA,NA,"FY","F","U",1,1,6,1,"V",22,2923,9189,"5:32","2019_7_27","QUILL_S1_2019_7_27_5:32_HO"
"16","QUILL_S1","QUILL","HO","S","1",27,7,2019,5,32,5,42,1,0,1,1,0,1,3,"NOISE=CREEK
INCIDENTAL AND POINT COUNT=FAMILY GROUP=YRWA",22538,2923,"YRWA",1,NA,NA,"FY","F","U",NA,1,8,1,"A",22,2923,9189,"5:32","2019_7_27","QUILL_S1_2019_7_27_5:32_HO"
"17","QUILL_S2","QUILL","HO","S","2",23,6,2019,6,24,6,34,2,1,3,NA,NA,NA,NA,"Clouds at 100%",23439,2924,"DEJU",1,NA,NA,"S","A","M",NA,1,1,1,"A",22,2924,9190,"6:24","2019_6_23","QUILL_S2_2019_6_23_6:24_HO"
"18","QUILL_S2","QUILL","HO","S","2",23,6,2019,6,24,6,34,2,1,3,NA,NA,NA,NA,"Clouds at 100%",23440,2924,"WIWA",1,NA,NA,"S","A","M",NA,1,1,1,"A",22,2924,9190,"6:24","2019_6_23","QUILL_S2_2019_6_23_6:24_HO"
"19","QUILL_S2","QUILL","HO","S","2",23,6,2019,6,24,6,34,2,1,3,NA,NA,NA,NA,"Clouds at 100%",23441,2924,"AMRO",1,NA,NA,"CF","A","U",NA,1,1,1,"V",22,2924,9190,"6:24","2019_6_23","QUILL_S2_2019_6_23_6:24_HO"
"20","QUILL_S2","QUILL","HO","S","2",23,6,2019,6,24,6,34,2,1,3,NA,NA,NA,NA,"Clouds at 100%",23442,2924,"AMRO",1,NA,NA,"S","A","M",NA,1,4,2,"A",22,2924,9190,"6:24","2019_6_23","QUILL_S2_2019_6_23_6:24_HO"
